Dual,AWS_ID,Type,Date,Time,Min_Since,Latitude,Longitude,Temperature,Humidity,Pressure,Sea_Temp,Wind_Direction,Wind_Speed,Gust,COG,SOG,Wave_Height,Wave_Period,Visibility
D,62045,3,200526,2300,2,499083,-28936,128,919,102560,1247,1824,394,51,0,51,,,11275
D,62045,3,200526,2200,2,499083,-28935,130,896,102548,1252,1992,235,40,0,67,,,12405
D,62047,3,200526,2200,2,499083,-28935,130,897,102554,1252,1981,246,36,0,75,,,13605
D,62047,3,200526,2300,2,499083,-28936,128,921,102565,1247,1684,336,44,0,51,,,11989
D,62047,3,210526,000,2,499082,-28936,129,915,102581,1246,1630,440,56,0,83,,,11712
D,62045,3,210526,000,2,499082,-28936,130,913,102578,1246,1794,502,65,0,84,,,11749
D,62047,3,210526,100,2,499082,-28938,130,906,102594,1250,1754,653,91,0,70,,,9752
D,62045,3,210526,200,2,499081,-28943,131,896,102597,1248,1876,515,70,0,62,,,11306
D,62045,3,210526,100,2,499082,-28938,130,904,102589,1250,1836,646,93,0,71,,,10326
D,62047,3,210526,200,2,499081,-28943,130,901,102605,1248,1944,462,71,0,65,,,10907
D,62045,3,210526,300,2,499079,-28950,131,891,102557,1247,1763,563,67,0,84,,,12741
D,62047,3,210526,300,2,499079,-28950,130,895,102565,1248,1930,647,79,0,87,,,12155
D,62045,3,210526,400,2,499076,-28959,130,910,102557,1247,1747,436,55,0,61,,,11188
D,62047,3,210526,400,2,499077,-28959,130,913,102565,1247,1907,499,65,0,62,,,10888
D,62045,3,210526,500,2,499075,-28959,130,909,102578,1249,1872,414,53,0,57,,,12449
D,62047,3,210526,500,2,499075,-28959,130,913,102586,1249,1980,403,57,0,59,,,11463
D,62045,3,210526,600,2,499075,-28958,130,914,102594,1249,1983,408,56,0,66,,,12330
D,62047,3,210526,600,2,499075,-28958,131,910,102603,1249,2011,248,58,0,69,,,12778
D,62047,3,210526,700,2,499076,-28956,131,906,102632,1248,1975,291,50,0,48,,,13836
D,62047,3,210526,800,2,499077,-28952,131,909,102651,1252,1684,338,47,0,59,,,12365
D,62045,3,210526,700,2,499076,-28956,131,912,102622,1249,2014,372,53,0,51,,,10720
D,62047,3,210526,900,2,499079,-28948,131,912,102606,1268,1538,270,45,0,61,,,11746
D,62045,3,210526,800,2,499077,-28952,134,892,102647,1251,1781,358,54,0,59,,,15406
D,62045,3,210526,900,2,499079,-28948,136,884,102601,1265,1727,294,41,0,60,,,15106
D,62045,3,210526,1100,2,499080,-28947,139,885,102607,1295,1603,324,42,0,63,,,13543
D,62047,3,210526,1000,2,499080,-28947,132,916,102614,1290,1496,280,39,0,62,,,10548
D,62047,3,210526,1100,2,499080,-28947,135,906,102612,1308,1413,304,47,0,61,,,11212
D,62045,3,210526,1000,2,499080,-28946,137,891,102609,1278,1684,306,40,0,62,,,13713
D,62047,3,210526,1200,2,499080,-28947,136,915,102582,1330,1150,314,48,0,89,,,9326
D,62045,3,210526,1200,2,499080,-28947,141,888,102572,1320,1316,312,42,0,87,,,11777
D,62047,3,210526,1400,2,499079,-28950,140,919,102540,1367,996,311,52,0,53,,,8375
D,62045,3,210526,1300,2,499080,-28948,142,876,102566,1322,1096,240,38,0,65,,,11570
D,62047,3,210526,1300,2,499080,-28948,139,900,102578,1342,999,214,36,0,67,,,10356
D,62045,3,210526,1400,2,499079,-28950,140,911,102534,1351,937,332,51,0,47,,,11125
D,62045,3,210526,1500,2,499078,-28954,141,903,102512,1358,713,305,60,0,83,,,11639
D,62047,3,210526,1500,2,499078,-28954,141,903,102514,1385,799,332,52,0,84,,,9864
D,62045,3,210526,1700,2,499075,-28959,142,850,102440,1344,721,674,85,0,52,,,17430
D,62045,3,210526,1600,2,499076,-28959,139,888,102457,1334,702,431,61,0,42,,,13704
D,62047,3,210526,1600,2,499076,-28959,138,893,102462,1360,822,513,73,0,48,,,12209
D,62047,3,210526,1700,2,499075,-28959,141,853,102450,1347,877,636,79,0,51,,,18186
D,62045,3,210526,1800,2,499075,-28958,139,864,102377,1341,760,815,102,0,52,,,16543
D,62047,3,210526,1800,2,499075,-28958,139,865,102385,1343,900,745,91,0,55,,,13037
D,62045,3,210526,1900,2,499076,-28958,137,875,102349,1270,768,723,93,0,53,,,15152
D,62047,3,210526,2000,2,499076,-28957,137,864,102275,1263,945,828,116,0,66,,,15131
D,62047,3,210526,1900,2,499076,-28958,137,875,102357,1270,904,657,85,0,53,,,12737
D,62045,3,210526,2000,2,499076,-28957,138,863,102269,1263,890,863,117,0,63,,,14725
D,62045,3,210526,2100,2,499078,-28951,141,832,102317,1262,1133,751,99,0,70,,,15752
D,62047,3,210526,2200,2,499080,-28948,140,858,102318,1276,1045,734,95,0,98,,,14132
D,62047,3,210526,2100,2,499078,-28951,142,828,102337,1262,996,769,103,0,69,,,15961
D,62047,3,210526,2300,2,499084,-28941,138,884,102301,1262,1114,631,83,0,74,,,12844
D,62045,3,210526,2300,2,499084,-28941,137,887,102292,1262,1308,588,73,0,72,,,12405
D,62045,3,210526,2200,2,499080,-28948,140,860,102304,1276,1197,688,85,0,94,,,13631
D,62047,3,220526,000,2,499084,-28941,136,904,102280,1261,1229,503,63,0,54,,,11623
D,62045,3,220526,000,2,499084,-28941,135,906,102273,1262,1432,500,61,0,54,,,11164
D,62047,3,220526,100,2,499083,-28941,136,912,102255,1276,1256,494,66,0,58,,,12320
D,62045,3,220526,200,2,499083,-28942,139,906,102249,1262,1462,490,67,0,60,,,11874
D,62045,3,220526,100,2,499083,-28941,136,915,102247,1276,1452,457,59,0,57,,,11547
